"Rider","Pos","Country","Team","Stage","Start_Location","End_Location","Stage_Type","Stage_Distance","Time_total","Velocity_kmh","Velocity_mph","Classification"
"Dylan Van Baarle",100,"Netherlands","INEOS GRENADIERS","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Kenny ELISSONDE",101,"France","TREK - SEGAFREDO","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Nicolas Roche",102,"Ireland","TEAM SUNWEB","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Jan HIRT",103,"Czech Republic","CCC TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Alessandro De Marchi",104,"Italy","CCC TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Dries Devenyns",105,"Belgium","DECEUNINCK - QUICK - STEP","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Tim Declercq",106,"Belgium","DECEUNINCK - QUICK - STEP","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Julian Alaphilippe",107,"France","DECEUNINCK - QUICK - STEP","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Bob Jungels",108,"Luxembourg","DECEUNINCK - QUICK - STEP","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Alexey Lutsenko",109,"Kazakhstan","ASTANA PRO TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Ilnur Zakarin",110,"Russia","CCC TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Imanol Erviti",111,"Spain","MOVISTAR TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Jonathan Castroviejo Nicolas",112,"Spain","INEOS GRENADIERS","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Luis Leon Sanchez",113,"Spain","ASTANA PRO TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Benoit Cosnefroy",114,"France","AG2R LA MONDIALE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Young"
"Richie Porte",115,"Australia","TREK - SEGAFREDO","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Adam Yates",116,"England","MITCHELTON - SCOTT","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Daryl Impey",117,"South Africa","MITCHELTON - SCOTT","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Daniel Martin",118,"Ireland","ISRAEL START-UP NATION","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Lennard Kamna",119,"Germany","BORA - HANSGROHE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Young"
"Domenico Pozzovivo",120,"Italy","NTT PRO CYCLING TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Toms Skujins",121,"Latvia","TREK - SEGAFREDO","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Alejandro Valverde",122,"Spain","MOVISTAR TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Dario Cataldo",123,"Italy","MOVISTAR TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Frederik FRISON",124,"Belgium","LOTTO SOUDAL","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Jesus Herrada",125,"Spain","COFIDIS","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Romain Sicard",126,"France","TOTAL DIRECT ENERGIE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Roman Kreuziger",127,"Czech Republic","NTT PRO CYCLING TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Mikel Landa Meana",128,"Spain","BAHRAIN - MCLAREN","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Omar Fraile Matarranz",129,"Spain","ASTANA PRO TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Miguel Angel LOPEZ MORENO",130,"Colombia","ASTANA PRO TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Ion IZAGUIRRE INSAUSTI",131,"Spain","ASTANA PRO TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Harold TEJADA CANACUE",132,"Colombia","ASTANA PRO TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Young"
"Lukas Postlberger",133,"Austria","BORA - HANSGROHE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Anthony Perez",134,"France","COFIDIS","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Diego Rosa",135,"Italy","TEAM ARKEA - SAMSIC","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Warren Barguil",136,"France","TEAM ARKEA - SAMSIC","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Winner ANACONA",137,"Colombia","TEAM ARKEA - SAMSIC","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Samuel BEWLEY",138,"New Zealand","MITCHELTON - SCOTT","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Stefan Kung",139,"Switzerland","GROUPAMA - FDJ","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Matthieu Ladagnous",140,"France","GROUPAMA - FDJ","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Rudy Molard",141,"France","GROUPAMA - FDJ","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Thibaut Pinot",142,"France","GROUPAMA - FDJ","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Valentin MADOUAS",143,"France","GROUPAMA - FDJ","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Young"
"Marc HIRSCHI",144,"Switzerland","TEAM SUNWEB","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Young"
"Michael Schar",145,"Switzerland","CCC TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Niklas EG",146,"Denmark","TREK - SEGAFREDO","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Young"
"Wouter Poels",147,"Netherlands","BAHRAIN - MCLAREN","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Carlos Verona Quintanilla",148,"Spain","MOVISTAR TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Jose Rojas",149,"Spain","MOVISTAR TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Andre Greipel",150,"Germany","ISRAEL START-UP NATION","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Nils Politt",151,"Germany","ISRAEL START-UP NATION","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Marc Soler",152,"Spain","MOVISTAR TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
